interaction;name
RN7SL2;LOC105378179
ANKRD18A;FAM95C
CKAP2L;BUB1
GINS1;SKA1
MCM10;HROB
IL2RG;SLAMF7
THBS4;THBS4-AS1
CDCA2;BUB1
CYTIP;SLAMF7
SP140;SLAMF7
TOP2A;BUB1
ERCC6L;BUB1
GPR174;SLAMF7
CD8A;TRAT1
NEK2;BUB1
RN7SL1;LOC105378179
SLAMF8;SLAMF7
DLX6-AS1;DLX6
SPAG5;SKA1
CCL5;SLAMF7
SPAG5;BUB1
PRAC2;MIR3185
PTPN22;SLAMF7
CENPF;BUB1
PKMYT1;SKA1
CD3D;SLAMF7
RECQL4;SKA1
FAM201A;FAM95C
IFI30;LINC01943
ESCO2;BUB1
MELK;BUB1
NCAPH;BUB1
CDC45;BUB1
HJURP;BUB1
DEPDC1;STIL
ADAMTS9-AS1;PCOLCE-AS1
CRTAM;SLAMF7
UBASH3A;SLAMF7
ARHGAP11A;BUB1
SGO2;BUB1
KIF20A;BUB1
CD52;SLAMF7
ITK;TRAT1
ANLN;STIL
CCND2;STIL
NUSAP1;BUB1B-PAK6
TPX2;BUB1
IL12RB1;SLAMF7
CD5;TRAT1
IL7R;SLAMF7
KRT8;MIR9898
NCAPG;BUB1
TTK;BUB1
KIFC1;BUB1
CXCR3;TRAT1
LHX2;BUB1
LMNB1;BUB1
CDC6;BUB1
SIRPG;LINC02195
SIRPG;SLAMF7
NEIL3;PBK
MKI67;HROB
KIF4A;BUB1
SPC25;BUB1
GINS1;HROB
APOC1;BIRC3
KIF18B;STIL
FOXG1;LINC01551
E2F1;BUB1
LINC01614;FHAD1
TREM2;LINC01943
SIT1;TRAT1
RACGAP1;BUB1
STEAP3;LOC105378305
TFEC;SLAMF7
SH2D1A;TRAT1
SDS;LINC01943
AURKA;BUB1
NT5DC4;BUB1
ESCO2;PBK
P2RY10;SLAMF7
CXCR3;SLAMF7
RNU2-1;LOC105378179
IQGAP3;STIL
ZBED2;LINC02195
PYHIN1;TRAT1
SKA1;HROB
CD5;SLAMF7
POLQ;STIL
IFI30;SLAMF7
DEPDC1B;BUB1
SIT1;SLAMF7
LOC105373581;LOC105378305
CD8B;TRAT1
FAM72B;BUB1
CCNF;SKA1
LOC100288637;STIL
FAM72A;BUB1
MKI67;BUB1
HMGB2;BUB1B-PAK6
GTSE1;BUB1
CDC25C;BUB1
KIF18A;BUB1
EZH2;BUB1
UBE2C;BUB1
XRCC2;SKA1
IL21R;LINC01943
CD2;TRAT1
ASPM;PBK
IL2RB;SLAMF7
LOC102723654;ISOC1
FAM72D;BUB1
PRC1-AS1;STIL
PRR11;HROB
CKS2;PBK
BUB1B;BUB1B-PAK6
WDR76;BUB1B-PAK6
KIF15;BUB1
PRC1;STIL
NUF2;PBK
CDCA2;SKA1
CD2;SLAMF7
GPR171;SLAMF7
TMEM156;SLAMF7
ERCC6L;HROB
MKI67;SKA1
LINC01871;TRAT1
SP140;TRAT1
MYBL1;PBK
SOCAR;LINC01943
NEIL3;STIL
ARL4C;PCOLCE-AS1
CCL5;TRAT1
EOMES;TRAT1
MCM2;BUB1B-PAK6
KIF18B;SKA1
TEDC2;SKA1
NSD2;STIL
CLSPN;PBK
LTK;IGF2BP1
TYMP;SLAMF7
SKA3;BUB1
TICRR;HROB
CDCA8;STIL
NCAPG;PBK
MCM4;BUB1
SPAG5;HROB
RECQL4;HROB
PCOLCE;PCOLCE-AS1
FAM72D;PBK
GPR84;LINC01943
SKA3;HROB
NEIL3;BRCA2
DLGAP5;BUB1
EXO1;HROB
LILRB4;SLAMF7
CCNB1;BUB1
GINS1;BUB1
SAPCD2;BUB1
CXCR6;TRAT1
PTPN22;LINC01943
KNL1;BUB1B-PAK6
RUNX3;EN1
IL7R;LINC02195
CTSW;SLAMF7
ERCC6L;SKA1
CDKN3;PBK
EXO1;BUB1
CDCA2;PBK
TRIM59;PBK
P2RY10;TRAT1
PYHIN1;SLAMF7
