Gene,Degree
DDX11L17,47
PLEKHN1,45
GNB1-DT,66
KCNAB2,150
TMEM201,221
CASZ1,40
MAD2L2,214
TMEM51,45
FHAD1,48
C1QC,97
HTR1D,73
E2F2,224
IL22RA1,16
MIR3917,179
CEP85,198
RPS6KA1,135
LAPTM5,128
SERINC2,50
SPOCD1,27
CLSPN,290
CDCA8,299
CDC20,295
KIF2C,302
SNORD160,265
RAD54L,295
STIL,268
FOXD2-AS1,62
DHCR24,196
FOXD3-AS1,79
PDE4B,53
DEPDC1,283
DEPDC1-AS1,173
LRRIQ3,67
AK5,80
IFI44L,37
IFI44,20
ADGRL2,242
LOC105378825,46
CDC7,272
GFI1,78
BCAR3,126
COL11A1,161
PSRC1,206
GPR61,56
ADORA3,82
DCLRE1B,222
TBX15,57
FAM72B,291
FAM72C,221
FAM72D,283
ITGA10,47
LINC01731,14
H2BC18,85
H3C14,108
H2BC20P,95
ANP32E,265
ECM1,71
CGN,33
105371441,141
DCST2,43
DCST1,132
BCAN-AS1,65
HDGF,64
LOC101928202,41
NECTIN4,94
HSPA6,59
FCGR3B,83
NUF2,266
UCK2,222
MIR3658,133
FMO3,24
CENPL,175
DARS2,145
NPL,83
RGS1,85
ASPM,245
KIF14,292
NAV1,38
UBE2T,200
ATP2B4,40
NUAK2,51
FAM72A,284
MIR4260,27
G0S2,42
NEK2,250
DTL,229
LINC02608,40
CENPF,256
LINC02257,138
LOC102723834,111
LEFTY2,51
DUSP5P1,41
CCSAP,125
EXO1,211
ZNF695,100
SOX11,98
RRM2,188
GEN1,238
DTNB,100
CENPA,278
DPYSL5,61
RMDN2,33
STON1,90
LINC01122,62
PLEK,74
SMANTIS,176
ATP6V1B1-AS1,55
CYP26B1,198
DQX1,35
LOC102724497,70
LINC01943,89
NCAPH,283
BUB1,256
BCL2L11,47
SOCAR,92
SLC20A1,123
CKAP2L,314
IL1B,132
IL37,164
IL36G,120
IL1RN,122
EN1,141
MARCO,85
LOC105373581,122
DBI,144
TFCP2L1,42
112268426,86
CXCR4,88
SCN7A,67
SPC25,221
PDK1,86
HOXD9,51
LOC100129455,54
LOC401021,82
HOXD3,54
105747689,77
LOC101927687,99
SGO2,218
MDH1B,79
LINC01614,114
MREG,97
TMEM169,67
TUBA4A,102
DOCK10,84
NYAP2,84
ARMC9,122
SCARNA5,39
ARL4C,113
SNED1,177
PASK,131
LINC01238,94
RAD18,142
FANCD2,185
FANCD2OS,129
SGO1,229
SGO1-AS1,269
LINC02084,70
ITGA9,86
XYLB,119
LOC105377043,9
KIF15,291
PFKFB4,119
CDHR4,47
TRAIP,227
POC1A,132
NT5DC2,154
PRKCD,129
ARHGEF3,67
FLNB-AS1,119
ADAMTS9-AS1,39
KBTBD8,136
LOC151760,127
CD80,91
POLQ,288
ADCY5,48
SLC12A8,29
PLXNA1,109
LOC107986126,240
EFCC1,94
105374129,56
GPR87,122
SUCNR1,112
VEPH1,56
SMC4,276
TRIM59,234
ZMAT3,145
SOX2,35
CAMK2N2,159
P3H2,56
P3H2-AS1,29
TACC3,252
NSD2,276
LOC105374353,48
107986257,168
AFAP1-AS1,43
NCAPG,304
LCORL,259
PI4K2B,177
PGCKA1,153
LINC02475,72
NMU,95
HOPX,128
SOWAHB,46
ANTXR2,221
FGF5,46
NKX6-1,35
TIGD2,86
EMCN,141
CENPE,238
MCUB,101
ZGRF1,308
MAD2L1,284
TNIP3,79
LOC105377402,82
CCNA2,303
PLK4,314
SLC7A11,104
EDNRA,46
ARHGAP10,111
MND1,206
LOC100419170,93
ASIC5,119
LOC105377508,63
LOC101928007,56
RXFP1,57
SAP30,157
ASB5,36
NEIL3,280
CEP72,154
TRIP13,289
OTULINL,137
SLC1A3,87
C7,67
C6,38
NIM1K,27
C5orf34,279
FST,75
CDC20B,12
MCIDAS,101
CCNO,40
DEPDC1B,270
CENPK,263
CCNB1,308
CENPH,242
TMEM171,60
FOXD1,120
F2RL2,99
PDE8B,121
THBS4,24
THBS4-AS1,22
DHFR,224
HAPLN1,70
SLF1,258
LMNB1,302
LOC102723654,57
TCF7,184
PITX1,55
KIF20A,216
CDC25C,271
C5orf46,71
SLC6A7,93
KIF4B,98
HAVCR2,103
ADAM19,34
LOC107986466,44
IL12B,55
PTTG1,148
HMMR,239
HMMR-AS1,156
STC2,74
CDHR2,215
GPRIN1,204
SCGB3A1,45
FLT4,24
TRIM7-AS1,88
FOXCUT,65
LOC105374947,90
E2F3,237
H3C2,105
H3C3,179
LOC105374986,77
H3C8,97
H2AC11,135
H2AC13,100
H2AC16,129
OR2B6,135
ZKSCAN8P1,69
TCF19,290
MICB,87
LOC100294145,251
KIFC1,275
GRM4,76
FANCE,16
TREML1,62
TREM2,136
TREM1,87
ENPP5,33
LINC00472,27
TTK,307
FHL5,30
CRYBG1,103
REV3L,64
TRAF3IP2-AS1,150
CCN6,58
TUBE1,95
LINC02541,87
COL10A1,116
ULBP1,70
ZDHHC14,141
105378077,201
SYTL3,134
DACT2,47
SMOC2,91
LINC03016,129
DNAH11,213
CDCA7L,160
STEAP1B,67
IGF2BP3,98
OSBPL3,106
NFE2L3,87
HOXA10,204
ANLN,199
SUGCT,72
INHBA-AS1,40
LUARIS,150
SAMD9,63
SPDYE2B,29
GPR22,46
SLC26A4-AS1,142
TFEC,80
102724660,66
SMKR1,26
AKR1B10,33
LOC105375521,86
CLEC5A,79
KEL,40
CASP2,144
EZH2,304
ATP6V0E2,33
XRCC2,139
NCAPG2,252
XKR5,201
GS1-24F4.2,136
MSR1,103
ADAMDEC1,78
CDCA2,304
ESCO2,285
PBK,253
LOC105379362,65
EIF4EBP1,121
GINS4,264
MCM4,281
PXDNL,70
MYBL1,104
LOC105375894,195
MSC,57
MSC-AS1,29
TRPA1,124
ZFHX4-AS1,132
TPD52,74
CA2,163
LINC02849,82
ATP6V0D2,59
RAD54B,190
FBXO43,187
LOC105369147,112
LOC105375690,36
AARD,62
MTBP,182
